Ref_No,Facility_Name,Service_Type,Contact_Name,Address1,Address2,Address3,Town,Eircode,County,Age_Range,Area,Community,Contact_Name,Email,Phone_Number
TU2015CW002,Absolute Beginners Crèche ,Full Day,Claire O'Brien ,Rathsillan Estate ,Carlow Road, ,Tullow  ,R93 PE00,Carlow,0 - 6 Years,South,N/A,Valerie Coughlan,info@absolutebeginners.ie,059 9180495
TU2015CW005,Askea Community Childcare Centre ,Full Day,Therese Ryan Carina Deegan ,Brownshill Road ,, ,Carlow ,R93 K152,Carlow,0 - 6 Years,South,N/A,Fr. Thomas Little,askeachildcare@eircom.net,059 9135206
TU2015CW006,Ballon Community Crèche ,Full Day,Helen Murphy ,Ballon Childcare Facility ,, ,Ballon ,R93 A9DO,Carlow,0 - 6 Years,South,N/A,Michael O'Toole,ballonrathoechildcare@hotmail.com,059 9159888
TU2015CW010,Chatterbox Playschool ,Full Day,Anne Byrne ,Slaney View Drive ,, ,Tullow ,R93 V250,Carlow,2 - 6 Years,South,N/A,Lisa O'Rourke,slaneyviewdrivecc@respond.ie,059 9152171
TU2015CW012,Cherish Childcare ,Full Day,Laura Fitzpatrick ,Friars Green ,Tullow Road, ,Carlow ,R93 AN26,Carlow,Unknown,South,N/A,Melanie Watson,cherishcarlow@gmail.com,059 9140886
TU2015CW014,Creative Kids ,Full Day,Katarzyna Gurzawska ,Askea Business Park ,O'Brien Road, ,Carlow ,R93 T2C9,Carlow,Unknown,South,N/A,Katarzyna Gurzawska,creativekidscarlow@gmail.com,059 9182507
TU2015CW015,Dolmen Nursery and Montessori School ,Full Day,Breda Smith ,Montessori School ,6 Dolmen Gardens,Hacketstown Road ,Carlow ,R93 DD32,Carlow,0 - 6 Years,South,N/A,Linda  Mellon,dolmennursery@gmail.com,059 9143160
TU2015CW020,Jolly Tots Creche ,Full Day,Nicholas Russell ,Ballycarney ,Green Road, ,Ballycarney ,R93 EP60,Carlow,1 - 6 Years,South,N/A,Nicholas Russell,jollytotscarlow@gmail.com,059 9141822
TU2015CW049,Kilkenny Road Community Childcare & Family Centre ,Full Day,Pauline Byrne ,Kilkenny Road ,, ,Carlow ,R93 FX65,Carlow,1 - 6 Years,South,N/A,Adrian Dunlevy,childcare@catherines.ie,059 9137392
TU2015CW022,Little Buddies Créche and Montessori ,Full Day,Patricia Amond Mag Brennan ,57 Milford Park ,, ,Ballinabranna ,R93 A397,Carlow,0 - 6 Years,South,N/A,Patty Amond,littlebuddiescreche@gmail.com,059 9146394
